old_name,new_name
LM.NA_ASN_ANH_SON_3$NA_ASN_ANH_SON_2.kml,NA_ASN_ANH_SON_3-NA_ASN_ANH_SON_2.kml
LM.NA_ASN_CAO_SON$NA_ASN_KHAI_SON_2.kml,NA_ASN_CAO_SON-NA_ASN_KHAI_SON_2.kml
LM.NA_ASN_CAO_SON$NA_ASN_CAO_SON_2.kml,NA_ASN_CAO_SON_2-NA_ASN_CAO_SON.kml
LM.NA_ASN_HOI_SON_2$NA_ASN_HOA_SON.kml,NA_ASN_HOA_SON-NA_ASN_HOI_SON_2.kml
LM.NA_ASN_KHAI_SON$NA_ASN_KHAI_SON_2.kml,NA_ASN_KHAI_SON-NA_ASN_KHAI_SON_2.kml
LM.NA_ASN_LINH_SON_2$NA_ASN_LINH_SON.kml,NA_ASN_LINH_SON_2-NA_ASN_LINH_SON.kml
LM.NA_ASN_TUONG_SON$NA_ASN_HOA_SON.kml,NA_ASN_TUONG_SON-NA_ASN_HOA_SON.kml
LM.NA_CCG_PU_MAT_2$NA_CCG_BONG_KHE.kml,NA_CCG_BONG_KHE-NA_CCG_PU_MAT_2.kml
LM.NA_CCG_CON_CUONG$NA_CCG_PU_MAT_2.kml,NA_CCG_CON_CUONG-NA_CCG_PU_MAT_2.kml
LM.NA_CCG_CON_CUONG_2$NA_CCG_CON_CUONG_4.kml,NA_CCG_CON_CUONG_4-NA_CCG_CON_CUONG_2.kml
LM.NA_CCG_PHU_MAT$NA_CCG_PU_MAT_2.kml,NA_CCG_PHU_MAT-NA_CCG_PU_MAT_2.kml
LM.NA_CCG_YEN_KHE$NA_CCG_CON_CUONG_4.kml,NA_CCG_YEN_KHE-NA_CCG_CON_CUONG_4.kml
LM.NA_CLO_CUA_LO_2$NA_CLO_NGHI_HUONG_2.kml,NA_CLO_CUA_LO_2-NA_CLO_NGHI_HUONG_2.kml
LM.NA_CLO_CUA_LO_3$NA_NLC_NGHI_HOP.kml,NA_CLO_CUA_LO_3-NA_NLC_NGHI_HOP.kml
LM.NA_CLO_CUA_LO_4$NA_CLO_CUA_LO.kml,NA_CLO_CUA_LO_4-NA_CLO_CUA_LO.kml
LM.NA_CLO_HAI_BANG$NA_NLC_NGHI_HOP.kml,NA_CLO_HAI_BANG-NA_NLC_NGHI_HOP.kml
LM.NA_CLO_NGHI_HUONG_2$NA_CLO_NGHI_HUONG.kml,NA_CLO_NGHI_HUONG-NA_CLO_NGHI_HUONG_2.kml
